Time,Nome,Usuario,Texto,Data,topicos,Stop words
Internacional,Insônia Gremista,@criptogremio,não ironicamente lugar casemiro sofreria aquela falta treinam muito internacional,2026-03-26 19:01:33,,"no, do, ele, eles, isso, no"
Santos,Corneteiro Alvinegro,@corneteiro1910,quem observador seleção indicou douglas santos?,2026-03-26 19:01:33,,"foi, o, da, que, o"
Vasco,jessicat,@jessicaliandra_,"seleção tal qual vasco gama hoje, pqp",2026-03-26 19:00:33,,da
Cruzeiro,Marcosᶜᵉᶜ,@printfmarcos,vini jr jogando menos wanderson cruzeiro,2026-03-26 19:00:33,,"que, o, do"
Flamengo,Pedro,@Pdgzin7,leva flamengo pra copa trás taça muita fé,2026-03-26 19:00:33,,"o, que, nós, a, e"
Flamengo,Biriba Vegano,@biribavegano,"fraudícius júnior não condição pra jogar seleção, muito menos esses lixos flamengo defesa. lh danilo: necessários copa. brasil campeão passa diretamente jogadores botafogo time.",2026-03-26 19:00:33,,"tem, na, do, na, e, na, por, do, no"
Flamengo,Flamengo,@Flamengo252219,casemiro não flamengo kkkkk surtam,2026-03-26 19:00:33,,"é, ele, com, isso"
Cruzeiro,dan,@goldodann,cruzeiro?,2026-03-26 19:00:33,,
Corinthians,gean carlos,@geancarloscz95,"vamos fingir joelho não salvou vcs segunda divisão, concordo jogou mal contra corinthians. precisa melhorar fisicamente, creio consiga, mas espaço.",2026-03-26 19:00:33,,"que, com, um, ele, da, que, o, que, tem"
Vasco,crack baby,@hanexst,"slk proteção espiritual fortíssima, quase fui vasco causa doguinho q brotou nada meio escuro, sentir verdadeiro terror moto quase batendo 70 km/h",2026-03-26 19:00:33,,"de, por, de, um, do, no, do, o, com, a"
Santos,Samuel D'fiel,@dfiel12,pensava tinha sido douglas santos. mas obrigado me confirmar quem animal deu passe desse sozinho marcação.,2026-03-26 19:00:33,,"eu, que, o, por, foi, o, que, um, sem"
Santos,Léo Pereira ᶜʳᶠ,@leocrf_10,gente neymar fosse tudo mesmo santos estaria numa situação melhor,2026-03-26 19:00:33,,"se, o, isso, o"
Fluminense,reis,@crf_reix,convoca fluminense vai dar certo kkkk,2026-03-26 19:00:33,,"do, que"
Vasco,Lotto,@matheuslotto,me sinto torcedor vasco assistindo seleção. desanimador.,2026-03-26 19:00:33,,"um, do, essa"
Vasco,Larissa,@kitsLarisss,"aí não superou até hoje vini jr estar ex dele, né? neymar jogou 3 copas não levou nenhuma, quando não levando 6x0 vasco",2026-03-26 19:00:33,,"esse, o, com, a, e, isso, tá, de, do"
Santos,Tito,@TitoGremistazo,renan santos será eleito kkk,2026-03-26 19:00:33,,
Vasco,Vinicius Andrade ◤✠◢,@orionzera,vasco renato gaucho já teria virado jogo,2026-03-26 19:00:33,,"o, de, esse"
Corinthians,Pedro Silva,@PedroBaloti,"corinthians era brincadeira, meu deus",2026-03-26 19:00:33,,esse
Cruzeiro,Cartola,@cartolafc,tricolores também definidas duelo contra cruzeiro pelo brasileirão feminino,2026-03-26 19:00:33,mercado,"para, o"
Flamengo,sergioluizp,@sergiolp116,"alemanha vence brasil novo 7. não, pera ai, foram 7 ministros venceram os aposentados. tipo flamengo jogando contra ibis.",2026-03-26 19:00:33,,"o, de, por, que, o"
Flamengo,André /,@ChamaDesgraca,"irmão, acho inacreditável léo pereira chamado pra seleção dps humilhado pelo yuri, só flamengo pra acontecer algo assim",2026-03-26 19:00:33,,"eu, o, ser, de, ser"
Santos,Ig Nunes,@_ignunes,ederson- acabou douglas santos- fraco andrey santos- fraco lento joão pedro- jogo grande pipoca vini- só presta real raphinha- só presta barça danilo- mudou jogo igor thiago- poucos minutos luiz henrique- melhores casemiro- melhores,2026-03-26 19:00:33,BRAxFRA,"e, no, no, o, um, dos, um, dos"
Flamengo,Maria Santos,@MSantos69538,flamengo,2026-03-26 19:00:33,TVZAoVivoComAlvxaro,
Palmeiras,Alex Titovsc,@AlexTitovsc,não só pardal italiano não toda mídia nojenta odeia palmeiras os péssimos técnicos passaram recentemente pela seleção torço contra mesmo bosta dessa seleção brasileira,2026-03-26 19:00:33,,"é, o, é, que, o, e, que, por, isso, essa"
Flamengo,@almeiidacrf,·,"trazer luíz henrique independente valor. ou meio ano, ou final pra começar temporada 27 já aqui. acima média, jogador resolve jogo.",2026-03-26 19:05:33,,"o, tem, que, o, do, no, do, no, a, é, da, que"
Santos,Adriano Braga,@bragaadrianoo,"cara, douglas santos vontade alguma. pra mim, futebol jogando, condições ir copa",2026-03-26 19:00:33,,"sem, com, esse, que, ele, ta, sem, de, a"
Flamengo,FERNÃO DIAS PAIS,@FernaoPais,"este ""brasa"", continuar assim, não passa 1a fase copa! vc achando estão jogando bem!! vendo muito jogo cruzeiro! até 1 menos tomaram outro gol! pelo menos serve pra ver este léo pereira este lateral roma, só torcida flamengo engole!",2026-03-26 19:00:33,,"a, da, da, e, que, tá, do, com, a, que, e, do, a, do"
Flamengo,Grok,@grok,"motivo frustração crise futebol brasileiro: pior campanha história eliminatórias copa 2026, caos político cbf (com intervenções judiciais presidentes derrubados), dívidas mau desempenho clubes como flamengo, corinthians botafogo, além perda",2026-03-26 19:00:33,,"o, é, a, com, a, no, da, nas, da, na, e, e, em, e, da"
Santos,mari,@atalamari,leo pereira = enviado campo reeducação interior tocantins douglas santos = abandonado meio teerã bandeira israhell testa vini jr = exilado selva venezuelana,2026-03-26 19:00:33,,"para, um, de, no, do, no, do, com, a, de, na, na"
Flamengo,jurídico kaio jorge,@nalucec,dá vc levar jogador só flamengo,2026-03-26 19:00:33,,"isso, que, por, ser, do"
Santos,Yami nobre ˢᶠᶜ,@yami_nobre,"quem disse q precisa ficar bola, precisa distribuir jogo atrair marcação, problema q santos entrega bola pra espera q seja zagueiro, atacante, meia volante",2026-03-26 19:00:33,,"e, ele, com, ele, e, o, é, o, a, ele, e, ele, e"
Santos,Fill ©®. Flamengo,@Fillrocha93,só mandar matheus cunha andrey santos não nesse meio campo,2026-03-26 19:00:33,,"o, ele, e, da"
Flamengo,renanananannananan,@o_renanr,"torcedor flamengo globo colocaram léo pereira seleção cara perdido marcando olise segundo gol deixou mbappe passar passagem, aí enquete 55% acha q cara devia voltar, prra tmnc quem acha q verdade",2026-03-26 19:00:33,,"o, do, e, a, é, que, esse, na, o, o, no, e, o, de, a, o, isso, é"
Santos,Gleybson Borges Lima,@Gleybsonborges,"não joga, não convocado, não joga nem santos contra vai ficar fora jogando ou não jogando!",2026-03-26 19:00:33,,"é, no, o, e"
São Paulo,Gabi,@gabisonzer,dia 25 abril stalia juntinhas the l club são paulo,2026-03-26 19:00:33,,"de, tem, no, em"
