Time,Nome,Usuario,Tempo,Texto
Internacional,JoaoSantos,@joaosantosecp,3 min,"@CBF_Futebol
 parece o meu 
@SCInternacional
 com um a jogador a mais e não consegue empatar"
Santos,BORBA,@felipeoborba,3 min,galera nossos laterais sao wesley cabeça de nós todos e douglas santos….
Flamengo,Fred Chevitarese,@fchevitarese,3 min,kkkk vai se foder Flamengo
Botafogo,Dj Tau Brasil,@_T_A_U_,3 min,"Miserável do Textor ladrao magnata, vendeu os caras 
Luiz Henrrique e Almada na boca do mundial de clube .

Brasil seleção botafogo"
São Paulo,Acervo Brasil,@lunobrj,3 min,"Paróquia Matriz São Sebastião, São Carlos - São Paulo"
Corinthians,Museu de memes do Corinthians,@museu_sccp,3 min,Essa elenco atual da seleção não arrumaria nada jogando contra o Corinthians na arena lotada
São Paulo,paiN Drunzin | Legends Z-A,@drunyx__,3 min,"E o La Cruz estava em São Paulo semana passada no mesmo estúdio que a Pabllo, viu?"
Palmeiras,Big Phil,@felipaoger1985,3 min,A seleção Brasileira me lembra muito o Palmeiras no seguinte aspecto: a absoluta falta de jogadas pelo meio campo.
Santos,aninha knowles,@analurrx,3 min,Kaiki Bruno fez o que pra ficar no banco pra Douglas Santos pqp
Santos,Pablo Roberto⊬,@pablroberto,3 min,N existe o Matheus Bidu ser pior q esse Douglas Santos.
Botafogo,Esportices Blogcast,@esportices,3 min,"Se Vinicius Jr fosse jogador do, sei lá, Botafogo, por esse jogo de hoje não ia pra Copa de jeito nenhum."
Santos,Church News em Português,@churchnewspt,3 min,": 
bit.ly/3NweKIV

Élder Neil L. Andersen, do Quórum dos Doze Apóstolos, ministrou recentemente na Área Pacífico de A Igreja de Jesus Cristo dos Santos dos Últimos Dias, visitando Papua-Nova Guiné, Austrália, Nova Zelândia, Tonga e Fiji ao longo de 12 dias."
Flamengo,jãoz ᶜʳᶠ,@zjaojaoz,3 min,nos tiraram 2 semanas do flamengo de leo jardim pra ver essa merda ai
Santos,Junior Nobrega,@juniorFilho23,3 min,Neymar não joga nem no santos ex jogador vamos ser realista esse ano vamos ser eliminado na oitavas
Botafogo,Edinho do Sport,@edinhodosport,3 min,"Danilo do Botafogo entrou bem também, né?"
Santos,letícia,@yunjincarioka,3 min,tirem o douglas santos dai #BRAxFRA
Corinthians,KauaDuGrau,@KauaDuGrau018,3 min,Parece que eu tô vendo o Corinthians jogando
Corinthians,erri três sete,@LeonardoR37,3 min,"Não fez nem contra o Corinthians, imagina contra a França"
Santos,Gabriel Ribeiro✠,@GabRibeiro98,3 min,O tal do Douglas Santos entregou hoje uma atuação nível Christiano.
Santos,Gabriel,@saintliberte,3 min,cara o Renan Santos tem quanto de altura? o cara parece menor que o Kogos kkkkkk
Flamengo,isaque alvinegro,@isaquealvinegro,3 min,"Kkkkkk não pensa em Botafogo sem pensar em Flamengo junto, retrato dessa torcida mais velha"
Cruzeiro,laranjo ᶜᵉᶜ,@_laranjeirass,3 min,CRUZEIRO ESPORTE CLUBE!!!!!!
Grêmio,Matheus,@MathaFilho,3 min,"Parabéns pelo post meu parceiro,assim que faz um post bem explicado. Não que nem certos jornalistas que vem aqui no diz é simplesmente dizem que o Grêmio deve quase 1 Bilhão. Notícia vazia sem prazos e sem valores separados."
Santos,Guilherme,@gmartinns_,3 min,"Enquanto acharem que Matheus Cunha, Gabriel Martinelli, Ibañez (?????), Douglas Santos, Lucas Paquetá, Vinicius Jr. são jogadores pra seleção brasileira…

Vai ser sempre essa merda aí kkkkk"
Santos,MOISES,@Moiises7_,3 min,N importa o que é o Neymar no santos. Importante é o que ele sempre jogou na seleção
Grêmio,𝖽𝗎𝖽𝖺 𖦹๋࣭⭑,@guiltyasduds,3 min,"nao to nem assistindo essa bomba porque eu so me estresso com essa seleção brasileira, prefiro o meu grêmio"
Flamengo,PEIDAMOSNOCARIOCA,@Daves532545,3 min,"O Flamengo ta fazendo certo ,ser for algum negócio tem que ser assim ou e sim ou não eles que vinheram atras e nessas condições"
Vasco,emerson,@_emersxn_,3 min,vini jr tá pra seleção tal qual loide augusto para o vasco
Santos,Jefferson bandeira,@Jeffersonb84803,3 min,"Vinícius Jr: mas 1 jogo ruim na seleção brasileira ( como de costume) 
Douglas Santos: o pior em campo para mim tá fora da copa 
Luiz Henrique: o melhor em campo está na copa do mundo."
Fluminense,Paulo Brito,@PauloFBS,3 min,"Douglas Santos. 

Não seria titular nos cinco principais clubes do Brasil. E isso inclui o Fluminense."
Grêmio,Anao Hormonado,@AnaoHormonado_,3 min,Pelo visto Ancelotti não está vendo o Amuzu no Grêmio
Santos,#Pelé o maior de todos,@fcharmiaski,3 min,"Problema da selecao é a mesma do santos, vc acha que o banco é solucao, aí quando o banco começa jogando é uma tirica kkkkk"
Santos,ゆうた,@soninhalanches,3 min,Esse Douglas Santos eh fraquíssimo que ele e Léo Pereira nunca mais vistam a camisa da seleção
Grêmio,Olga,@ElisaScott48199,3 min,Quem sabe sugere outra cor que não seja do grêmio então? 
Santos,AstroRc22,@AstroRc22,3 min,"Pontos à serem considerados pro Brasil :
-Luiz Henrique insano
-Léo Pereira (incógnita) 
-Vini jr (incógnita dentro de campo mas necessário)
-Douglas Santos horroroso fora urgente
-andrey Santos overrated
-Endrick > João Pedro 
-bremer garantiu a vaga dele"
Flamengo,Adriano,@sradrianoz,3 min,"Não comprem gente, elas são amigas da chapel aquela mulher que matou uma criança filha do Flamengo"
Flamengo,lari,@laaricrf_,3 min,"Luiz Henrique depois da copa vai valorizar ainda mais o passe dele kkk nem fodendo que palmeiras e flamengo vao conseguir competir por ele, certeza que vai pra um gigante europeu."
Santos,Letras Minúsculas DJ,@Jota1D,4 min,"Douglas Santos é muito fraco, não tem nível de seleção."
